post,sentiment,confidence
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",positive,0.5693597118620458
“Some day you will be old enough to start reading fairy tales again.”,neutral,0.6426765512648097
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,positive,0.5308476390572313
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,neutral,0.616739045648342
“A lie can travel half way around the world while the truth is putting on its shoes.”,positive,0.3693731210934161
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",neutral,0.6674914967826943
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",positive,0.5327675393294341
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",positive,0.4967388639324766
“To die will be an awfully big adventure.”,neutral,0.6393040017755471
“It takes courage to grow up and become who you really are.”,positive,0.5986152895375496
“But better to get hurt by the truth than comforted with a lie.”,positive,0.5683500428098529
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,neutral,0.6244837492364793
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",neutral,0.48941864954859277
“Never tell the truth to people who are not worthy of it.”,neutral,0.511051871181243
"“A person's a person, no matter how small.”",neutral,0.42206007255445116
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",neutral,0.6041730448623247
